date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,30,25,0.0,11.0,7,97,05:37 PM,06:03 AM,07:12 AM,06:12 PM,17,29,29,28,11,1,52,0.0,1011,30,10,220,9,Mumbai
2018-01-02,31,25,0.0,11.0,7,100,06:41 PM,07:08 AM,07:12 AM,06:13 PM,16,29,29,28,10,0,50,0.0,1011,31,10,134,9,Mumbai
2018-01-03,31,25,0.0,11.0,7,89,07:46 PM,08:09 AM,07:13 AM,06:14 PM,18,30,30,28,9,1,53,0.0,1012,31,10,142,8,Mumbai
2018-01-04,31,25,0.0,11.0,7,81,08:50 PM,09:07 AM,07:13 AM,06:14 PM,18,29,29,28,10,3,55,0.0,1013,31,10,174,9,Mumbai
2018-01-05,30,24,0.0,11.0,7,74,09:52 PM,09:59 AM,07:13 AM,06:15 PM,17,28,28,27,12,3,54,0.0,1012,30,10,135,10,Mumbai
2018-01-06,30,24,0.0,11.0,7,67,10:50 PM,10:47 AM,07:13 AM,06:16 PM,15,27,27,27,11,4,47,0.0,1012,30,10,135,10,Mumbai
2018-01-07,29,24,0.0,11.0,7,59,11:46 PM,11:30 AM,07:14 AM,06:16 PM,13,27,27,26,14,0,45,0.0,1013,29,10,178,12,Mumbai
2018-01-08,29,23,0.0,11.0,7,52,No moonrise,12:11 PM,07:14 AM,06:17 PM,15,27,27,26,10,3,51,0.0,1013,29,10,213,9,Mumbai
2018-01-09,31,23,0.0,11.0,7,45,12:38 AM,12:50 PM,07:14 AM,06:17 PM,16,28,28,27,10,5,54,0.0,1015,31,10,142,8,Mumbai
2018-01-10,32,25,0.0,11.0,7,38,01:30 AM,01:29 PM,07:14 AM,06:18 PM,16,29,29,28,11,5,50,0.0,1015,32,10,159,8,Mumbai
2018-01-11,32,26,0.0,11.1,7,30,02:20 AM,02:08 PM,07:14 AM,06:19 PM,18,29,29,28,11,11,54,0.0,1014,32,10,150,8,Mumbai
2018-01-12,32,27,0.0,11.0,7,23,03:11 AM,02:49 PM,07:15 AM,06:19 PM,19,31,31,29,10,11,57,0.0,1013,32,10,143,7,Mumbai
2018-01-13,32,27,0.0,11.1,7,16,04:01 AM,03:32 PM,07:15 AM,06:20 PM,20,31,31,29,12,15,58,0.0,1013,32,10,135,8,Mumbai
2018-01-14,32,27,0.0,11.1,7,9,04:50 AM,04:16 PM,07:15 AM,06:21 PM,20,31,31,29,11,14,58,0.0,1013,32,10,132,7,Mumbai
2018-01-15,33,27,0.0,11.1,8,1,05:40 AM,05:03 PM,07:15 AM,06:21 PM,20,32,32,29,13,12,57,0.0,1013,33,10,135,8,Mumbai
2018-01-16,34,28,0.0,11.1,8,0,06:28 AM,05:52 PM,07:15 AM,06:22 PM,20,32,32,30,11,5,54,0.0,1012,34,10,147,8,Mumbai
2018-01-17,31,28,0.0,11.1,7,0,07:15 AM,06:41 PM,07:15 AM,06:23 PM,19,31,31,29,11,4,55,0.0,1012,31,10,135,9,Mumbai
2018-01-18,33,27,0.0,11.1,8,6,07:59 AM,07:32 PM,07:15 AM,06:23 PM,18,31,31,30,14,2,51,0.0,1013,33,10,145,11,Mumbai
2018-01-19,31,26,0.0,11.1,7,13,08:42 AM,08:22 PM,07:15 AM,06:24 PM,17,29,29,28,16,5,51,0.0,1014,31,10,176,12,Mumbai
